"Employee Documents","مستندات الموظف"
"Monthly","شهري"
"Quarterly","ربع سنوي"
"Yearly","سنوي"
"Employee Penalty","جزاء الموظف"
"Penalty Details","تفاصيل الجزاء"
"Subject","الموضوع"
"Payroll Date","تاريخ كشف الرواتب"
"Penalty Information","معلومات الجزاء"
"Penalty Type","نوع الجزاء"
"Penalty Amount","مبلغ الجزاء"
"Currency","العملة"
"Result and Link","النتيجة والرابط"
"Submitted","مُرسل"
"Result","النتيجة"
"Additional Salary Link","رابط الراتب الإضافي"
"Additional Salary draft created.","تم إنشاء مسودة راتب إضافي."
"Additional Salary draft already linked.","تم ربط مسودة راتب إضافي مسبقاً."
"Penalty Type is required.","نوع الجزاء مطلوب."
"Penalty Type must be a Salary Component of type Deduction.","يجب أن يكون نوع الجزاء مكوّن راتب من نوع استقطاع."
"Penalty Amount must be greater than 0.","يجب أن يكون مبلغ الجزاء أكبر من 0."
"Alternative Employee","الموظف البديل"
"Alternative Employee Name","اسم الموظف البديل"
"Requester Employee","الموظف طالب الإجازة"
"Requester Employee Name","اسم الموظف طالب الإجازة"
"Leave Application","طلب إجازة"
"Employees Currently Acting As Alternative","الموظفون المكلفون حالياً كبدلاء"
"Alternative Employee cannot be the same as the requester.","لا يمكن أن يكون الموظف البديل هو نفس الموظف طالب الإجازة."
"Alternative Employee {0} does not exist.","الموظف البديل {0} غير موجود."
"Alternative Employee {0} is not active.","الموظف البديل {0} غير نشط."
"Alternative Employee must belong to the same company as the requester ({0}).","يجب أن ينتمي الموظف البديل إلى نفس شركة الموظف طالب الإجازة ({0})."
"Alternative Employee {0} is already on leave ({1}) between {2} and {3} in leave request {4}.","الموظف البديل {0} لديه إجازة ({1}) بالفعل من {2} إلى {3} في طلب الإجازة {4}."
"Alternative Employee {0} is already assigned as alternative for employee {1} between {2} and {3} in leave request {4}.","الموظف البديل {0} مكلّف بالفعل كبديل للموظف {1} من {2} إلى {3} في طلب الإجازة {4}."
"Alternative assignment confirmed for leave request {0}","تم تأكيد التكليف كموظف بديل لطلب الإجازة {0}"
"Alternative assignment cancelled for leave request {0}","تم إلغاء التكليف كموظف بديل لطلب الإجازة {0}"
"{0} assigned you as the alternative employee for {1} ({2}) from {3} to {4}.","قام {0} بتكليفك كموظف بديل عن {1} ({2}) من {3} إلى {4}."
"{0} cancelled leave request {1}. You are no longer assigned as alternative employee for {2}.","قام {0} بإلغاء طلب الإجازة {1}. لم تعد مكلّفاً كموظف بديل عن {2}."
"Alternative Employee User","مستخدم الموظف البديل"
"Alternative Employee Email","البريد الإلكتروني للموظف البديل"
"Handover Notes","ملاحظات تسليم المهام"
"Alternative Assignments","تعيينات البديل"
"Alternative Assignment Emails","رسائل بريد تعيينات البديل"
"Coverage From Date","تاريخ بدء التغطية"
"Coverage To Date","تاريخ نهاية التغطية"
"Row #{0}: Alternative Employee cannot be the same as the requester.","السطر رقم {0}: لا يمكن أن يكون الموظف البديل هو نفس الموظف طالب الإجازة."
"Row #{0}: Alternative Employee {1} does not exist.","السطر رقم {0}: الموظف البديل {1} غير موجود."
"Row #{0}: Alternative Employee {1} is not active.","السطر رقم {0}: الموظف البديل {1} غير نشط."
"Row #{0}: Alternative Employee must belong to the same company as the requester ({1}).","السطر رقم {0}: يجب أن ينتمي الموظف البديل إلى نفس شركة الموظف طالب الإجازة ({1})."
"Row #{0}: Alternative Employee is required.","السطر رقم {0}: الموظف البديل مطلوب."
"Row #{0}: From Date is required.","السطر رقم {0}: تاريخ البداية مطلوب."
"Row #{0}: To Date is required.","السطر رقم {0}: تاريخ النهاية مطلوب."
"Row #{0}: From Date cannot be after To Date.","السطر رقم {0}: لا يمكن أن يكون تاريخ البداية بعد تاريخ النهاية."
"Row #{0}: Assignment dates must be within leave period ({1} to {2}).","السطر رقم {0}: يجب أن تكون تواريخ التعيين ضمن فترة الإجازة ({1} إلى {2})."
"Row #{0}: Alternative Employee {1} is already on leave ({2}) between {3} and {4} in leave request {5}.","السطر رقم {0}: الموظف البديل {1} لديه إجازة ({2}) بالفعل من {3} إلى {4} في طلب الإجازة {5}."
"Row #{0}: Alternative Employee {1} is already assigned as alternative for employee {2} between {3} and {4} in leave request {5}.","السطر رقم {0}: الموظف البديل {1} مكلّف بالفعل كبديل للموظف {2} من {3} إلى {4} في طلب الإجازة {5}."
"Alternative Employee {0} has overlapping assignment rows ({1} and {2}).","الموظف البديل {0} لديه أسطر تعيين متداخلة ({1} و {2})."
